Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Dom. Lucien Barrot et Fils Chateauneuf-du-Pape 2016,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",40 99,750 ML,3.7,11 Ratings,WE 94 JD 92
Gemstone Vineyard Alluvial Selection Cabernet Sauvignon 2018,Cabernet Sauvignon,"Yountville, Napa Valley, California",165,750 ML,0.0,0 Ratings,JD 95
Heritance Napa Valley Cabernet Sauvignon 2016,Cabernet Sauvignon,"Napa Valley, California",44 99,750 ML,0.0,0 Ratings,
Tatomer Rose of Pinot Noir 2020,Rosé,"Edna Valley, Central Coast, California",28 99,750 ML,0.0,0 Ratings,WW 92
Chateau d'Issan Blason d'Issan (Futures Pre-Sale) 2020,Bordeaux Red Blends,"Margaux, Bordeaux, France",26 97,750 ML,0.0,0 Ratings,JS 94 D 92
Borsao Tres Picos Garnacha 2018,Grenache,"Campo de Borja, Spain",17 99,750 ML,3.8,46 Ratings,JS 90
Sansonina Merlot 2017,Merlot,"Verona, Veneto, Italy",33 99,750 ML,0.0,0 Ratings,JS 93
Domaine Matrot Blagny La Piece sous le Bois Premier Cru 2018,Pinot Noir,"Cote de Beaune, Cote d'Or, Burgundy, France",84 99,750 ML,0.0,0 Ratings,W & S 93 RP 92
Chateau Montrose La Dame de Montrose (scuffed labels) 2003,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",79 97,750 ML,0.0,0 Ratings,WS 90
Jean Vesselle Cuvee Friandise Demi-Sec Rose (375ML half-bottle),Sparkling Rosé,"Champagne, France",31 99,375 ML,3.4,5 Ratings,W & S 93
Antoine Sunier Morgon 2019,Gamay,"Beaujolais, Burgundy, France",29 99,750 ML,3.7,8 Ratings,RP 92
Gerard Bertrand An 825 Cremant de Limoux Brut 2019,Vintage Sparkling Wine,"Cremant de Limoux, Limoux, Languedoc, South of France, France",19 99,750 ML,3.8,6 Ratings,WW 90
Menage a Trois Exotic Blend 2020,Other White Blends,California,9 99,750 ML,0.0,0 Ratings,
Abreu Vineyards Madrona Ranch 2009,Bordeaux Red Blends,"Napa Valley, California",409 97,750 ML,0.0,0 Ratings,RP 97
Tyrrell's Hunter Valley Semillon 2019,Semillon,"Hunter Valley, New South Wales, Australia",22 99,750 ML,3.7,44 Ratings,
Cedar + Salmon Willamette Valley Pinot Noir 2017,Pinot Noir,"Willamette Valley, Oregon",25,750 ML,3.8,98 Ratings,TP 92
Seghesio Sonoma Zinfandel 2020,Zinfandel,"Sonoma County, California",19 99,750 ML,0.0,0 Ratings,
Bell Wine Cellars Cabernet Sauvignon 2018,Cabernet Sauvignon,"Napa Valley, California",53 99,750 ML,0.0,0 Ratings,
Santa Julia Plus Torrontes 2021,Torrontes,"Mendoza, Argentina",11 99,750 ML,0.0,0 Ratings,
Araujo Eisele Vineyard Cabernet Sauvignon (1.5 Liter Magnum) 1995,Cabernet Sauvignon,"Calistoga, Napa Valley, California",829 97,1500 ML,0.0,0 Ratings,RP 98 WS 94
Castoro Cellars Zinfusion Reserve Zinfandel 2019,Zinfandel,"Paso Robles, Central Coast, California",23 99,750 ML,0.0,0 Ratings,CG 89
Vizcarra Torralvo 2014,Tempranillo,"Ribera del Duero, Spain",81 99,750 ML,0.0,0 Ratings,RP 91
Lemelson Meyer Vineyard Pinot Noir 2017,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",49 99,750 ML,0.0,0 Ratings,V 93 WE 92 WS 92 JS 90
Graham Beck Blanc de Blancs 2016,Vintage Sparkling Wine,"Robertson, South Africa",26 99,750 ML,0.0,0 Ratings,
La Follette Sangiacomo Green Acres Chardonnay 2017,Chardonnay,"Sonoma Coast, Sonoma County, California",37 99,750 ML,0.0,0 Ratings,RP 91
Scott Harvey Old Vine Reserve Zinfandel 2018,Zinfandel,"Amador, Sierra Foothills, California",39,750 ML,3.9,6 Ratings,WW 91 WE 90
Carden Red Label Pinot Noir 2016,Pinot Noir,"Willamette Valley, Oregon",56 99,750 ML,0.0,0 Ratings,
Fleur du Cap Chenin Blanc 2019,Chenin Blanc,"Stellenbosch, South Africa",13 99,750 ML,0.0,0 Ratings,
Verite Le Desir (1.5 Liter Magnum) 2009,Bordeaux Red Blends,"Sonoma County, California",579 97,1500 ML,0.0,0 Ratings,V 96 RP 93
Alessandro & Gian Natale Fantino Cascina Dardi Bussia Barolo 2013,Nebbiolo,"Barolo, Piedmont, Italy",69 99,750 ML,0.0,0 Ratings,RP 93 W & S 93
Au Contraire Russian River Chardonnay 2017,Chardonnay,"Russian River, Sonoma County, California",20,750 ML,4.1,66 Ratings,WW 89
Riedel Duck Decanter,,,424 97,0 ML,0.0,0 Ratings,
Hudelot-Noellat Clos Vougeot Grand Cru 1997,Pinot Noir,"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",319 97,750 ML,0.0,0 Ratings,
Fanti Brunello di Montalcino 2017,Sangiovese,"Montalcino, Tuscany, Italy",45 99,750 ML,0.0,0 Ratings,JS 92 RP 92 V 90
Sean Thackrey Andromeda Pinot Noir 2016,Pinot Noir,"Marin County, North Coast, California",60,750 ML,4.0,5 Ratings,
Concannon Monterey Chardonnay 2020,Chardonnay,"Monterey, Central Coast, California",13 99,750 ML,0.0,0 Ratings,
Valdo Floral Rose Brut,Sparkling Rosé,Italy,15 99,750 ML,0.0,0 Ratings,SJ 91
Abreu Vineyards Cappella 2011,Bordeaux Red Blends,"Napa Valley, California",459 97,750 ML,0.0,0 Ratings,RP 95
Weingut K & K Kirnbauer Das Phantom Qualitatswein 2018,Other Red Blends,"Burgenland, Austria",43 99,750 ML,0.0,0 Ratings,
DeLille D2 Estate Red 2018,Bordeaux Red Blends,"Columbia Valley, Washington",50,750 ML,4.4,29 Ratings,WE 92 WW 91 JD 91 JS 90
Chateau Paveil de Luze 2018,Bordeaux Red Blends,"Margaux, Bordeaux, France",43 99,750 ML,0.0,0 Ratings,
Bodegas Altanza Gran Reserva 2010,Tempranillo,"Rioja, Spain",37 99,750 ML,0.0,0 Ratings,V 92 JS 91
Bodegas San Valero Cabeza Casa Garnacha 2019,Grenache,"Carinena, Spain",9 99,750 ML,3.8,9 Ratings,JS 90
Danjean-Berthoux Mercurey Les Chavances 2017,Pinot Noir,"Mercurey, Cote Chalonnaise, Burgundy, France",32 99,750 ML,0.0,0 Ratings,
Mas Champart St. Chinian Causse du Bousquet 2017,Rhone Red Blends,"Languedoc, South of France, France",27 99,750 ML,0.0,0 Ratings,
Bila-Haut by Michel Chapoutier Cotes du Roussillon Blanc 2018,Other White Blends,"Côtes du Roussillon, Roussillon, South of France, France",14 99,750 ML,4.3,47 Ratings,
Acumen Peak Cabernet Sauvignon Edcora Vineyard 2016,Cabernet Sauvignon,"Atlas Peak, Napa Valley, California",164 99,750 ML,0.0,0 Ratings,WW 96
Bodegas Fillaboa Albarino Rias Baixas 2020,Albarino,"Rias Baixas, Spain",18 99,750 ML,4.6,35 Ratings,RP 89
Joyce Vineyards Tondre Grapefield Syrah 2019,Syrah/Shiraz,"Santa Lucia Highlands, Monterey, Central Coast, California",35,750 ML,0.0,0 Ratings,WE 93
Quixote Panza Cabernet Sauvignon 2018,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",60 99,750 ML,0.0,0 Ratings,
Recanati Upper Galilee Merlot (OU Kosher) 2020,Merlot,Israel,17 99,750 ML,0.0,0 Ratings,
Twine 6-Bottle Wine Rack,,,54 99,0 ML,0.0,0 Ratings,
Bouchard Pere & Fils Beaune Greves Premier Cru Vigne de l'Enfant Jesus 2019,Pinot Noir,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",169 99,750 ML,0.0,0 Ratings,JS 96 WS 94 RP 93 WW 93
Herdade Do Esporao Monte Velho White 2019,Other White Blends,Portugal,10 99,750 ML,4.3,8 Ratings,
Vizcarra JC Vizcarra 2017,Tempranillo,"Ribera del Duero, Spain",44 99,750 ML,4.3,13 Ratings,WW 91
Barkan Special Reserve Winemakers Choice Cabernet Sauvignon (OK Kosher) 2017,Cabernet Sauvignon,Israel,21 99,750 ML,0.0,0 Ratings,
Smith & Hook Proprietary Red Blend 2019,Other Red Blends,"Central Coast, California",23 99,750 ML,0.0,0 Ratings,
